Ticker,n_fast,n_slow,Train_Return[%],Train_Sharpe,Train_MaxDD[%],Train_Trades,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
ADBE,10,100,-47.69967389727326,-0.15927259032195154,-72.34421096849675,69,-9.667711876373323,-0.05986091196682803,-47.20834515201807,37
ADBE,10,150,-36.02917655965285,-0.10849738787620004,-68.96089342635858,56,20.924348177490174,0.10917553215690441,-40.72698281841106,24
ADBE,10,200,5.573696046640289,0.012592360727606082,-61.537688462629994,45,49.18844101699817,0.22605160187630338,-44.640659898402724,21
ADBE,20,30,-84.162088672455,-0.4192983568914326,-91.33942720227833,162,-15.04405416870106,-0.09691628519158854,-44.8127181280198,70
ADBE,20,50,-24.997808722032133,-0.06228101306905014,-70.87923005611346,99,-6.210437502594013,-0.036902458014913916,-47.823804903205826,41
ADBE,20,100,5.788365152832411,0.013479267754625657,-60.458830028564606,48,24.051361824493362,0.12629438232813278,-30.47171423198688,26
ADBE,20,150,-5.630995870859879,-0.013949105386780911,-60.71641021909529,43,87.09750697509757,0.36756026745070786,-25.870385231671122,15
ADBE,20,200,66.0820743912927,0.11969762075854962,-58.76157561128193,34,105.6104152407837,0.4088736234718347,-28.77131008745506,12
ADBE,30,50,482.6617464326516,0.39586744492358517,-41.57479714076454,100,5.396762153930794,0.030307399663546744,-50.48809318753054,44
ADBE,30,100,57.059135609717885,0.10551080411935808,-50.28784121826991,46,85.62122440078728,0.3663986998945979,-23.52786893580241,21
ADBE,30,150,52.09436421104618,0.10285061365046773,-43.43219482490199,38,100.94915768280022,0.4014630047656577,-27.810056086224357,15
ADBE,30,200,54.610729721224814,0.10085187121363214,-48.49805637938162,29,114.59382780212404,0.4297606826693894,-28.3024183351531,10
ADBE,50,100,170.9096856096788,0.22671960158599314,-43.9130329611484,44,69.4013333267211,0.2998947606813332,-38.78339966624078,19
ADBE,50,150,114.34925153696595,0.18205840152056513,-40.84574385623466,29,95.35287880981443,0.36838259147441044,-25.809289781314604,12
ADBE,50,200,80.7497739682642,0.15089452405535217,-42.72492773034262,23,58.60367882507324,0.26341392338046854,-31.907228171268887,11
ADBE,100,150,245.40669336923355,0.29928024166780093,-44.08603518654238,28,55.88752826721187,0.2494785778352549,-34.82380866246319,13
ADBE,100,200,190.90540606598785,0.26837725091409764,-52.3771767306094,25,90.04444174713142,0.3646423328668818,-37.9726806702613,9
ADBE,150,200,111.4348839596537,0.15666969357829247,-58.3436022444362,23,62.13624783096311,0.2939381721610885,-40.32260419647232,11
AMT,5,10,-64.92507254113531,-0.20410904482761852,-87.62430972066548,433,-40.60780094303801,-0.42851348463676625,-55.335490314217736,183
AMT,5,20,-88.08349703182863,-0.42550219808286804,-90.18774949655125,264,-69.85699367721591,-0.948768209529315,-74.07634902804111,114
AMT,5,30,-85.06629389740289,-0.40410680437675656,-92.95498027922764,211,-63.135409280888474,-0.8096066088895035,-68.84694316635375,79
AMT,5,50,-82.96960070253574,-0.37844360891106793,-89.92609814610078,161,-54.1985081391643,-0.6730365507041267,-63.521376695135025,61
AMT,5,100,-49.966274040741624,-0.16075328413302226,-79.6990801714644,111,-46.36735817903309,-0.520299805138331,-59.247100392433296,40
AMT,5,150,-38.07083324699426,-0.11718881281773172,-74.90396373228424,97,-32.33355864223878,-0.33100277405252143,-47.49664263276494,33
AMT,5,200,-27.35874871810551,-0.07565705871705064,-79.7249012478454,84,-22.726224305750538,-0.2185007319383796,-47.444606062424825,30
AMT,10,20,-92.6990326890887,-0.5670311728273523,-94.03884482011264,223,-62.69580392364518,-0.766775760224965,-70.58246923176095,96
AMT,10,30,-90.19633794356194,-0.5075309379985947,-92.75101211297022,163,-62.00741261521805,-0.7386374459683199,-69.61999313036628,69
AMT,10,50,-80.6259342149952,-0.3582092717911304,-88.82812136658126,123,-46.80947841874324,-0.5084932036209843,-56.50218072636655,44
